,ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
75,9,"Educational Services, & Health Care & Social Assistance",15,Health Care & Social Assistance,2016,2016,04000US30,Montana,6,7.211102550927979,"Gardiner, MT",16000US3029950,gardiner-mt
76,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2016,2016,04000US30,Montana,68,34.539832078341085,"Gardiner, MT",16000US3029950,gardiner-mt
77,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,Accommodation & Food Services,2016,2016,04000US30,Montana,159,62.48199740725323,"Gardiner, MT",16000US3029950,gardiner-mt
78,11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2016,2016,04000US30,Montana,44,27.658633371878658,"Gardiner, MT",16000US3029950,gardiner-mt
79,12,Public Administration (Group),19,Public Administration,2016,2016,04000US30,Montana,62,39.11521443121589,"Gardiner, MT",16000US3029950,gardiner-mt
80,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2015,2015,04000US30,Montana,26,34.20526275297414,"Gardiner, MT",16000US3029950,gardiner-mt
81,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2015,2015,04000US30,Montana,2,11.180339887498949,"Gardiner, MT",16000US3029950,gardiner-mt
82,1,Construction (Group),2,Construction,2015,2015,04000US30,Montana,9,7.615773105863908,"Gardiner, MT",16000US3029950,gardiner-mt
83,2,Manufacturing (Group),3,Manufacturing,2015,2015,04000US30,Montana,4,12.806248474865697,"Gardiner, MT",16000US3029950,gardiner-mt
84,3,Wholesale Trade (Group),4,Wholesale Trade,2015,2015,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
85,4,Retail Trade (Group),5,Retail Trade,2015,2015,04000US30,Montana,230,175.55910685578235,"Gardiner, MT",16000US3029950,gardiner-mt
86,5,"Transportation & Warehousing, & Utilities",6,Transportation & Warehousing,2015,2015,04000US30,Montana,6,7.0710678118654755,"Gardiner, MT",16000US3029950,gardiner-mt
87,5,"Transportation & Warehousing, & Utilities",7,Utilities,2015,2015,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
88,6,Information (Group),8,Information,2015,2015,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
89,7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,Finance & Insurance,2015,2015,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
90,7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,Real Estate & Rental & Leasing,2015,2015,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
91,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2015,2015,04000US30,Montana,18,15.652475842498529,"Gardiner, MT",16000US3029950,gardiner-mt
92,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,Management of Companies & Enterprises,2015,2015,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
93,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,Administrative & Support & Waste Management Services,2015,2015,04000US30,Montana,6,5.8309518948453,"Gardiner, MT",16000US3029950,gardiner-mt
94,9,"Educational Services, & Health Care & Social Assistance",14,Educational Services,2015,2015,04000US30,Montana,70,36.87817782917155,"Gardiner, MT",16000US3029950,gardiner-mt
95,9,"Educational Services, & Health Care & Social Assistance",15,Health Care & Social Assistance,2015,2015,04000US30,Montana,4,4.47213595499958,"Gardiner, MT",16000US3029950,gardiner-mt
96,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2015,2015,04000US30,Montana,87,47.92702786528704,"Gardiner, MT",16000US3029950,gardiner-mt
97,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,Accommodation & Food Services,2015,2015,04000US30,Montana,166,68.79680225126747,"Gardiner, MT",16000US3029950,gardiner-mt
98,11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2015,2015,04000US30,Montana,34,21.470910553583888,"Gardiner, MT",16000US3029950,gardiner-mt
99,12,Public Administration (Group),19,Public Administration,2015,2015,04000US30,Montana,70,42.485291572496,"Gardiner, MT",16000US3029950,gardiner-mt
