,ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography
72,2,Native; Born Outside The United States,6,55 to 59 Years,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
73,2,Native; Born Outside The United States,7,60 & 61 Years,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
74,2,Native; Born Outside The United States,8,62 to 64 Years,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
75,2,Native; Born Outside The United States,9,65 to 74 Years,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
76,2,Native; Born Outside The United States,10,75 Years & Over,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
77,3,Foreign Born,0,Under 5 Years,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
78,3,Foreign Born,1,5 to 17 Years,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
79,3,Foreign Born,2,18 to 24 Years,2018,2018,16,24.0,"Gardiner, MT",16000US3029950,gardiner-mt
80,3,Foreign Born,3,25 to 34 Years,2018,2018,18,23.0,"Gardiner, MT",16000US3029950,gardiner-mt
81,3,Foreign Born,4,35 to 44 Years,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
82,3,Foreign Born,5,45 to 54 Years,2018,2018,12,15.000000000000002,"Gardiner, MT",16000US3029950,gardiner-mt
83,3,Foreign Born,6,55 to 59 Years,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
84,3,Foreign Born,7,60 & 61 Years,2018,2018,8,8.0,"Gardiner, MT",16000US3029950,gardiner-mt
85,3,Foreign Born,8,62 to 64 Years,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
86,3,Foreign Born,9,65 to 74 Years,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
87,3,Foreign Born,10,75 Years & Over,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
88,0,Born In State of Residence,0,Under 5 Years,2017,2017,65,42.0,"Gardiner, MT",16000US3029950,gardiner-mt
89,0,Born In State of Residence,1,5 to 17 Years,2017,2017,121,74.0,"Gardiner, MT",16000US3029950,gardiner-mt
90,0,Born In State of Residence,2,18 to 24 Years,2017,2017,9,12.0,"Gardiner, MT",16000US3029950,gardiner-mt
91,0,Born In State of Residence,3,25 to 34 Years,2017,2017,16,17.0,"Gardiner, MT",16000US3029950,gardiner-mt
92,0,Born In State of Residence,4,35 to 44 Years,2017,2017,15,15.000000000000002,"Gardiner, MT",16000US3029950,gardiner-mt
93,0,Born In State of Residence,5,45 to 54 Years,2017,2017,43,30.000000000000004,"Gardiner, MT",16000US3029950,gardiner-mt
94,0,Born In State of Residence,6,55 to 59 Years,2017,2017,66,75.0,"Gardiner, MT",16000US3029950,gardiner-mt
95,0,Born In State of Residence,7,60 & 61 Years,2017,2017,4,5.0,"Gardiner, MT",16000US3029950,gardiner-mt
96,0,Born In State of Residence,8,62 to 64 Years,2017,2017,3,6.0,"Gardiner, MT",16000US3029950,gardiner-mt
97,0,Born In State of Residence,9,65 to 74 Years,2017,2017,15,17.0,"Gardiner, MT",16000US3029950,gardiner-mt
98,0,Born In State of Residence,10,75 Years & Over,2017,2017,6,6.0,"Gardiner, MT",16000US3029950,gardiner-mt
99,1,Born In Other State In The United States,0,Under 5 Years,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
100,1,Born In Other State In The United States,1,5 to 17 Years,2017,2017,50,31.0,"Gardiner, MT",16000US3029950,gardiner-mt
101,1,Born In Other State In The United States,2,18 to 24 Years,2017,2017,57,53.0,"Gardiner, MT",16000US3029950,gardiner-mt
102,1,Born In Other State In The United States,3,25 to 34 Years,2017,2017,71,39.0,"Gardiner, MT",16000US3029950,gardiner-mt
103,1,Born In Other State In The United States,4,35 to 44 Years,2017,2017,147,64.0,"Gardiner, MT",16000US3029950,gardiner-mt
104,1,Born In Other State In The United States,5,45 to 54 Years,2017,2017,136,65.0,"Gardiner, MT",16000US3029950,gardiner-mt
105,1,Born In Other State In The United States,6,55 to 59 Years,2017,2017,66,32.0,"Gardiner, MT",16000US3029950,gardiner-mt
106,1,Born In Other State In The United States,7,60 & 61 Years,2017,2017,20,21.0,"Gardiner, MT",16000US3029950,gardiner-mt
