,ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
75,9,"Educational Services, & Health Care & Social Assistance",15,Health Care & Social Assistance,2016,2016,04000US30,Montana,24,19.72308292331602,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
76,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2016,2016,04000US30,Montana,34,26.90724809414742,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
77,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,Accommodation & Food Services,2016,2016,04000US30,Montana,280,90.44335243676011,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
78,11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2016,2016,04000US30,Montana,10,18.867962264113206,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
79,12,Public Administration (Group),19,Public Administration,2016,2016,04000US30,Montana,13,15.524174696260024,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
80,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2015,2015,04000US30,Montana,12,26.925824035672516,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
81,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2015,2015,04000US30,Montana,3,10.770329614269007,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
82,1,Construction (Group),2,Construction,2015,2015,04000US30,Montana,52,36.24913792078371,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
83,2,Manufacturing (Group),3,Manufacturing,2015,2015,04000US30,Montana,8,16.401219466856723,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
84,3,Wholesale Trade (Group),4,Wholesale Trade,2015,2015,04000US30,Montana,13,18.867962264113206,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
85,4,Retail Trade (Group),5,Retail Trade,2015,2015,04000US30,Montana,143,58.60034129593445,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
86,5,"Transportation & Warehousing, & Utilities",6,Transportation & Warehousing,2015,2015,04000US30,Montana,21,17.464249196572982,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
87,5,"Transportation & Warehousing, & Utilities",7,Utilities,2015,2015,04000US30,Montana,4,12.806248474865697,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
88,6,Information (Group),8,Information,2015,2015,04000US30,Montana,10,18.027756377319946,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
89,7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,Finance & Insurance,2015,2015,04000US30,Montana,10,20.591260281973998,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
90,7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,Real Estate & Rental & Leasing,2015,2015,04000US30,Montana,18,21.470910553583888,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
91,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2015,2015,04000US30,Montana,9,18.027756377319946,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
92,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,Management of Companies & Enterprises,2015,2015,04000US30,Montana,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
93,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,Administrative & Support & Waste Management Services,2015,2015,04000US30,Montana,32,25.961509971494337,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
94,9,"Educational Services, & Health Care & Social Assistance",14,Educational Services,2015,2015,04000US30,Montana,16,16.1245154965971,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
95,9,"Educational Services, & Health Care & Social Assistance",15,Health Care & Social Assistance,2015,2015,04000US30,Montana,27,21.93171219946131,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
96,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2015,2015,04000US30,Montana,40,29.206163733020464,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
97,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,Accommodation & Food Services,2015,2015,04000US30,Montana,280,101.60708636704432,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
98,11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2015,2015,04000US30,Montana,27,24.413111231467404,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
99,12,Public Administration (Group),19,Public Administration,2015,2015,04000US30,Montana,15,15.652475842498529,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
100,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2014,2014,04000US30,Montana,18,39.293765408777,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
101,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2014,2014,04000US30,Montana,3,11.180339887498949,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
102,1,Construction (Group),2,Construction,2014,2014,04000US30,Montana,67,42.379240200834175,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
103,2,Manufacturing (Group),3,Manufacturing,2014,2014,04000US30,Montana,8,16.401219466856723,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
104,3,Wholesale Trade (Group),4,Wholesale Trade,2014,2014,04000US30,Montana,14,19.72308292331602,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
105,4,Retail Trade (Group),5,Retail Trade,2014,2014,04000US30,Montana,126,56.08029957123981,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
106,5,"Transportation & Warehousing, & Utilities",6,Transportation & Warehousing,2014,2014,04000US30,Montana,16,9.433981132056603,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
107,5,"Transportation & Warehousing, & Utilities",7,Utilities,2014,2014,04000US30,Montana,6,13.45362404707371,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
108,6,Information (Group),8,Information,2014,2014,04000US30,Montana,10,18.027756377319946,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
